Ano,Mes,Saldo_Empregos,Chuva_Total_Mes,Data_Ref
2023,8,2561.0,3280.8,8/2023
2023,9,1267.0,17467.0,9/2023
2023,10,21532.0,11192.0,10/2023
2023,12,-28832.0,7767.2,12/2023
2024,2,25452.0,5092.6,2/2024
2024,3,10490.0,6629.8,3/2024
2024,4,13512.0,12054.8,4/2024
2024,5,-22180.0,15924.8,5/2024
2024,7,6690.0,2483.4,7/2024
2024,8,10413.0,5160.2,8/2024
2024,9,10238.0,7231.4,9/2024
2024,10,14115.0,6380.2,10/2024
2024,12,-28384.0,6014.6,12/2024
2025,1,26732.0,2978.6,1/2025
2025,2,30693.0,4302.4,2/2025
2025,3,8960.0,2933.4,3/2025
2025,4,8678.0,4033.6,4/2025
2025,5,-115.0,6695.7,5/2025
2025,6,2443.0,9101.8,6/2025
2025,7,424.0,2901.8,7/2025
2025,8,-1648.0,3778.3,8/2025
2025,9,3890.0,5989.1,9/2025
2025,10,-256.0,4913.9,10/2025
2025,11,4635.0,5223.1,11/2025
2025,12,-36707.0,8264.9,12/2025
