competencia,precipitacao
202301,3061.0
202302,3926.8
202303,5333.4
202304,2122.0
202305,6804.2
202306,5124.8
202307,6959.6
202308,3280.8
202309,17467.0
202310,11192.0
202311,12954.0
202312,7767.2
202401,5646.8
202402,5092.6
202403,6629.8
202404,12054.8
202405,15924.8
202406,7915.4
202407,2483.4
202408,5160.2
202409,7231.4
202410,6380.2
202411,3950.0
202412,6014.6
202501,2978.6
202502,4302.4
202503,2933.4
202504,4033.6
202505,6695.7
202506,9101.8
202507,2901.8
202508,3778.3
202509,5989.1
202510,4913.9
202511,5223.1
202512,8264.9
